latitude,longitude,altitude,xy_accuracy,z_accuracy,datetime_stamp,Plot_ID
-24.07891806,21.22468364,1172.063,0.03,0.06,2024:03:25 16:28:29,S1P01
-24.07896481,21.22468547,1172.715,0.03,0.06,2024:03:25 16:30:01,S1P02
-24.07898961,21.224686,1173.016,0.03,0.06,2024:03:25 16:30:50,S1P03
-24.07903339,21.22473594,1172.806,0.03,0.06,2024:03:25 16:41:41,S1P04
-24.07907186,21.22469775,1173.313,0.03,0.06,2024:03:25 16:41:11,S1P05
-24.07910636,21.22459431,1171.627,0.03,0.06,2024:03:25 16:35:19,S1P06
-24.07914772,21.22454308,1171.547,0.03,0.06,2024:03:25 16:34:46,S1P07
-24.07916533,21.22446944,1172.322,0.03,0.06,2024:03:25 16:33:59,S1P08
-24.07913086,21.22444725,1173.355,0.03,0.06,2024:03:25 16:33:16,S1P09
-24.07903294,21.22442439,1169.449,0.03,0.06,2024:03:25 16:24:46,S1P10
-24.07895997,21.22459389,1172.312,0.03,0.06,2024:03:25 16:26:42,S1P11
-24.07896258,21.22473461,1172.492,0.03,0.06,2024:03:25 16:29:14,S1P12
-24.07897392,21.22472311,1172.594,0.03,0.06,2024:03:25 16:29:32,S1P13
-24.07892181,21.22471547,1172.319,0.03,0.06,2024:03:25 16:28:53,S1P14
-24.07891892,21.22465642,1172.4,0.03,0.06,2024:03:25 16:27:31,S1P15
-24.07889478,21.22453011,1171.725,0.03,0.06,2024:03:25 16:22:13,S1P16
-24.07888594,21.22449061,1171.472,0.03,0.06,2024:03:25 16:22:50,S1P17
-24.07888722,21.22446794,1171.088,0.03,0.06,2024:03:25 16:23:13,S1P18
-24.07891756,21.22445353,1169.787,0.03,0.06,2024:03:25 16:23:43,S1P19
-24.07896844,21.22441728,1170.031,0.03,0.06,2024:03:25 16:24:15,S1P20
-24.0790235,21.22445619,1172.223,0.03,0.06,2024:03:25 16:25:57,S1P21
-24.07905278,21.22459153,1171.388,0.03,0.06,2024:03:25 16:31:37,S1P22
-24.07908911,21.22465672,1172.693,0.03,0.06,2024:03:25 16:40:41,S1P23
-24.07912153,21.22471258,1173.373,0.03,0.06,2024:03:25 16:42:43,S1P24
-24.07908553,21.22476786,1173.354,0.03,0.06,2024:03:25 16:43:15,S1P25
-24.07909697,21.22480925,1173.515,0.03,0.06,2024:03:25 16:43:38,S1P26
-24.07907008,21.22484758,1173.391,0.03,0.06,2024:03:25 16:43:57,S1P27
-24.07903472,21.22481186,1173.944,0.03,0.06,2024:03:25 16:44:25,S1P28
-24.07891589,21.22464169,1172.458,0.03,0.06,2024:03:25 16:27:19,S1P29
-24.07888361,21.22460719,1172.952,0.03,0.06,2024:03:25 16:27:03,S1P30
