"latitude","longitude","altitude","xy_accuracy","z_accuracy","datetime_stamp"
"CRS","WGS84 EPSG::32735",NA,NA,NA,NA
"-23.9622941111111","21.2041770833333",1171.693,0.03,0.06,"2024:03:28 10:10:31"
"-23.9622730277778","21.2040604722222",1171.801,0.03,0.06,"2024:03:28 10:11:47"
"-23.9622293333333","21.2039196666667",1172.135,0.03,0.06,"2024:03:28 10:12:25"
"-23.9620986666667","21.2039406666667",1172.146,0.03,0.06,"2024:03:28 10:13:10"
"-23.96219125","21.2040011111111",1171.827,0.03,0.06,"2024:03:28 10:14:32"
"-23.9622099722222","21.2041083333333",1171.724,0.03,0.06,"2024:03:28 10:15:02"
"-23.9621482777778","21.2041746388889",1171.773,0.03,0.06,"2024:03:28 10:15:41"
"-23.9621516111111","21.2040658611111",1171.748,0.03,0.06,"2024:03:28 10:16:13"
"-23.9620756111111","21.2041219166667",1171.601,0.03,0.06,"2024:03:28 10:17:19"
"-23.9620738055556","21.2040183888889",1171.834,0.03,0.06,"2024:03:28 10:17:56"
"-23.96195575","21.2041785833333",1171.535,0.03,0.06,"2024:03:28 10:18:41"
"-23.9619683333333","21.2040683888889",1171.62,0.03,0.06,"2024:03:28 10:19:09"
"-23.9619661944444","21.2039566111111",1171.858,0.03,0.06,"2024:03:28 10:19:38"
