"latitude","longitude","altitude","xy_accuracy","z_accuracy","datetime_stamp","file_name"
"CRS","WGS84 EPSG::32735",NA,NA,NA,NA,NA
"-23.9619560555556","21.2039825833333",1171.859,0.03,0.06,"2024:03:28 12:19:18","S3P01.TIF"
"-23.9618719444444","21.20401825",1171.868,0.03,0.06,"2024:03:28 12:18:19","S3P02.TIF"
"-23.9622360555556","21.2041368888889",1171.699,0.03,0.06,"2024:03:28 12:08:18","S3P03.TIF"
"-23.9619684722222","21.2040850277778",1171.59,0.03,0.06,"2024:03:28 12:16:38","S3P04.TIF"
"-23.9618908611111","21.20415775",1171.447,0.03,0.06,"2024:03:28 12:14:57","S3P05.TIF"
"-23.9618616666667","21.204038",1171.839,0.03,0.06,"2024:03:28 12:17:52","S3P06.TIF"
"-23.9619110833333","21.2041869444444",1171.49,0.03,0.06,"2024:03:28 12:14:15","S3P07.TIF"
"-23.9618599444444","21.2038149444444",1171.932,0.03,0.06,"2024:03:28 12:21:57","S3P08.TIF"
"-23.96226875","21.2040549722222",1171.792,0.03,0.06,"2024:03:28 12:08:48","S3P09.TIF"
"-23.9618830277778","21.2041316388889",1171.559,0.03,0.06,"2024:03:28 12:15:38","S3P10.TIF"
"-23.9620005","21.2039355",1171.963,0.03,0.06,"2024:03:28 12:20:51","S3P11.TIF"
"-23.96188125","21.2041542222222",1171.474,0.03,0.06,"2024:03:28 12:15:18","S3P12.TIF"
"-23.96223325","21.2040408055556",1171.898,0.03,0.06,"2024:03:28 12:09:17","S3P13.TIF"
"-23.9620588611111","21.2037978611111",1172.046,0.03,0.06,"2024:03:28 12:22:33","S3P14.TIF"
"-23.96224675","21.204195",1171.638,0.03,0.06,"2024:03:28 12:07:48","S3P15.TIF"
"-23.9619170277778","21.2039266666667",1171.941,0.03,0.06,"2024:03:28 12:21:31","S3P16.TIF"
"-23.9619356111111","21.2040771111111",1171.632,0.03,0.06,"2024:03:28 12:17:04","S3P17.TIF"
"-23.9619198333333","21.2042565",1171.551,0.03,0.06,"2024:03:28 12:13:49","S3P18.TIF"
"-23.9618804166667","21.2040137777778",1171.893,0.03,0.06,"2024:03:28 12:18:45","S3P19.TIF"
"-23.9618736944444","21.2040447777778",1171.754,0.03,0.06,"2024:03:28 12:17:34","S3P20.TIF"
"-23.96208025","21.2040665",1171.692,0.03,0.06,"2024:03:28 12:12:00","S3P21.TIF"
"-23.9622083611111","21.2040235555556",1171.82,0.03,0.06,"2024:03:28 12:09:47","S3P22.TIF"
"-23.9621434722222","21.2040059722222",1171.832,0.03,0.06,"2024:03:28 12:11:13","S3P23.TIF"
"-23.9620021666667","21.2039635",1171.803,0.03,0.06,"2024:03:28 12:20:27","S3P24.TIF"
"-23.9620294166667","21.2041435",1171.452,0.03,0.06,"2024:03:28 12:12:41","S3P25.TIF"
"-23.9618781666667","21.2040984166667",1171.652,0.03,0.06,"2024:03:28 12:16:04","S3P26.TIF"
"-23.9623050277778","21.2041809166667",1171.633,0.03,0.06,"2024:03:28 12:06:52","S3P27.TIF"
"-23.9619566388889","21.2042036388889",1171.685,0.03,0.06,"2024:03:28 12:13:25","S3P28.TIF"
"-23.9621901388889","21.2041844166667",1171.707,0.03,0.06,"2024:03:28 12:10:32","S3P29.TIF"
"-23.9620236388889","21.2039995277778",1171.756,0.03,0.06,"2024:03:28 12:19:41","S3P30.TIF"
