 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version 1.3.1,This spreadsheet facilitates automatic tracking of when biomass samples are dry.  Created by Andrew Cunliffe (andrewmcunliffe@gmail.com),,,,,,,,,,,,,,,,,,,,,,,,,,
"Please duplicate this spreadsheet for your use, and include it in your data submission",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enter values into yellow boxes only: (i) Investigator name, (ii) harvest site name, (iii) harvest date (YYYY-MM-DD), (iv) drying temperature, (iv) date / time [yyyy-mm-dd hh:mm], and (v) mass [g]. The Dry weight field should auto-populate once the drying conditions are met.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Investigator Name:,Alan Nare,,,,,Parameters Defining 'Dryness',,,,,,,,,,,,,,,,,,,
,,Harvest site:,Zutshwa,,,,,Minimum overall drying time [hr],,,,,48:00:00,,,,,,,,,,,,,,
,,Harvest date:,25/03/2024,,,,,Period of stable weight [hr],,,,,24,,,,,,,,,,,,,,
,,Oven temp. [°C],60,,,,,Threshold weight change considered stable [%],,,,,1.00%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Timestep,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Drying started, no weighing",1st weighing,,2nd weighing,,3rd weighing,,4th weighing,,5th weighing,,6th weighing,,7th weighing,,8th weighing,,9th weighing,,10th weighing,
Harvest plot ID,Partition or container (if applicable),Dry weight [g],Drying stopped?,Subsample retained for analysis?,Is sample dry? (verify weights were stable for ≥24 hrs before stopping!),Total drying time [hr],Date / Time,Mass [g],Date / Time,Mass [g],Date / Time,Mass [g],Date / Time,Mass [g],Date / Time,Mass [g],Date / Time,Mass [g],Date / Time,Mass [g],Date / Time,Mass [g],Date / Time,Mass [g],Date / Time,Mass [g],Date / Time
Example,Example,,Yes,No,Drying Started,00:00:00,03/04/2024 09:00,,02/04/2024 09:00,80,03/04/2024 09:00,80.1,,,,,,,,,,,,,,,
S1P01,Stipagrostis uniplumis,134.29,Yes,No,Probably,48:00:00,06/04/2024 22:00,134.32,07/04/2024 22:00,134.29,08/04/2024 22:00,,,,,,,,,,,,,,,,
S1P01,Tribulus terrestris,0.11,Yes,No,Probably,48:00:00,06/04/2024 22:00,0.11,07/04/2024 22:00,0.11,08/04/2024 22:00,,,,,,,,,,,,,,,,
S1P01,Melinis repens,1.16,Yes,No,Probably,72:00:00,06/04/2024 22:00,1.19,07/04/2024 22:00,1.16,08/04/2024 22:00,1.17,09/04/2024 22:00,,,,,,,,,,,,,,
S1P02,Stipagrostis uniplumis,136.44,Yes,No,Probably,48:00:00,06/04/2024 22:00,136.44,07/04/2024 22:00,136.44,08/04/2024 22:00,,,,,,,,,,,,,,,,
S1P02,Tribulus terrestris,7.03,Yes,No,Probably,48:00:00,06/04/2024 22:00,7.03,07/04/2024 22:00,7.03,08/04/2024 22:00,,,,,,,,,,,,,,,,
S1P03,Stipagrostis uniplumis,196.08,Yes,No,Probably,48:00:00,06/04/2024 22:00,196.1,07/04/2024 22:00,196.08,08/04/2024 22:00,,,,,,,,,,,,,,,,
S1P04,Stipagrostis uniplumis,197.41,Yes,No,Probably,48:00:00,06/04/2024 22:00,197.52,07/04/2024 22:00,197.41,08/04/2024 22:00,,,,,,,,,,,,,,,,
S1P04,Tribulus terrestris,2.63,Yes,No,Probably,72:00:00,06/04/2024 22:00,2.68,07/04/2024 22:00,2.65,08/04/2024 22:00,2.63,09/04/2024 22:00,,,,,,,,,,,,,,
S1P05,Schmidtia kalihariensis,53.92,Yes,No,Probably,48:00:00,06/04/2024 22:00,53.93,07/04/2024 22:00,53.92,08/04/2024 22:00,,,,,,,,,,,,,,,,
S1P06,Schmidtia kalihariensis,0.72,Yes,No,Probably,72:00:00,06/04/2024 22:00,0.76,07/04/2024 22:00,0.72,08/04/2024 22:00,0.72,09/04/2024 22:00,,,,,,,,,,,,,,
S1P06,Stipagrostis uniplumis,60.52,Yes,No,Probably,48:00:00,06/04/2024 22:00,60.64,07/04/2024 22:00,60.52,08/04/2024 22:00,,,,,,,,,,,,,,,,
S1P06,Tribulus terrestris,0.37,Yes,No,Probably,72:00:00,06/04/2024 22:00,0.39,07/04/2024 22:00,0.37,08/04/2024 22:00,0.37,09/04/2024 22:00,,,,,,,,,,,,,,
