Plot_ID,Altitude(m),Accuracy
S1P01,1160.869873,0.005
S1P02,1160.762695,0.005
S1P03,1160.792603,0.005
S1P04,1161.248779,0.005
S1P05,1160.852295,0.005
S1P06,1160.063232,0.005
S1P07,1160.039673,0.005
S1P08,1159.526978,0.005
S1P09,1159.386841,0.005
S1P10,1159.274902,0.005
S1P11,1160.164673,0.005
S1P12,1161.123291,0.005
S1P13,1161.097168,0.005
S1P14,1161.076294,0.005
S1P15,1160.642334,0.005
S1P16,1159.980957,0.005
S1P17,1159.832031,0.005
S1P18,1159.673462,0.005
S1P19,1159.484375,0.005
S1P20,1159.330566,0.005
S1P21,1159.426636,0.005
S1P22,1160.050781,0.005
S1P23,1160.450317,0.005
S1P24,1160.869019,0.005
S1P25,1161.233276,0.005
S1P26,1161.526001,0.005
S1P27,1162.043335,0.005
S1P28,1161.673828,0.005
S1P29,1160.551392,0.005
S1P30,1160.358398,0.005
